OS                           : Linux-5.14.21-150400.24.81_12.0.87-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 13.0.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.36
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2/bin/nvcc
CUDA Build Version           : 12020
CUDA Driver Version          : 12020
CUDA Runtime Version         : 12020 (linked to CuPy) / 12020 (locally installed)
cuBLAS Version               : (available)
cuFFT Version                : 11008
cuRAND Version               : 10303
cuSOLVER Version             : (11, 5, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (12, 2)
Thrust Version               : 200200
CUB Build Version            : 200200
Jitify Build Version         : <unknown>
cuDNN Build Version          : 8801
cuDNN Version                : 8903
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
Loss at truetheta:
6.091615083257977e-13
len(theta) = 584821
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 584821 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  2.094e+03  1.566e+06   1.0e+00  3.6e-01
     1 -1.18274e-02  1.083e+03  6.337e+05   5.2e-01  6.8e-01  8.6e+02  1.0e+00
     2 -2.70431e-02  5.205e+02  2.671e+05   2.5e-01  4.3e-01  1.2e+03  1.4e+00
     3 -3.64968e-02  2.960e+02  1.404e+05   1.4e-01  3.3e-01  1.4e+03  1.5e+00
     4 -4.29598e-02  1.739e+02  6.138e+04   8.3e-02  2.1e-01  1.7e+03  1.4e+00
     5 -4.47839e-02  1.443e+02  3.225e+04   6.9e-02  1.2e-01  1.9e+03  1.4e+00
     6 -4.53037e-02  1.301e+02  2.171e+04   6.2e-02  8.3e-02  2.0e+03  1.9e+00
     7 -4.54595e-02  1.217e+02  1.583e+04   5.8e-02  6.0e-02  2.2e+03  1.9e+00
     8 -4.54640e-02  1.153e+02  1.194e+04   5.5e-02  4.5e-02  2.3e+03  2.2e+00
     9 -4.54815e-02  1.110e+02  9.495e+03   5.3e-02  3.5e-02  2.4e+03  2.4e+00
    10 -4.55756e-02  1.077e+02  7.920e+03   5.1e-02  2.9e-02  2.6e+03  2.7e+00
    20 -4.63206e-02  7.994e+01  3.614e+03   3.8e-02  1.3e-02  3.6e+03  4.9e+00
    30 -4.61488e-02  6.012e+01  1.941e+03   2.9e-02  7.4e-03  4.4e+03  4.8e+00
    40 -4.61720e-02  5.008e+01  1.248e+03   2.4e-02  5.0e-03  5.0e+03  6.1e+00
    50 -4.59462e-02  4.314e+01  8.701e+02   2.1e-02  3.6e-03  5.6e+03  6.3e+00
    60 -4.56297e-02  3.842e+01  6.652e+02   1.8e-02  2.8e-03  6.1e+03  7.3e+00
    70 -4.53580e-02  3.438e+01  5.259e+02   1.6e-02  2.3e-03  6.6e+03  8.0e+00
