OS                           : Linux-5.14.21-150400.24.81_12.0.87-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.19
CuPy Version                 : 13.0.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.26.4
SciPy Version                : 1.13.0
Cython Build Version         : 0.29.36
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/23.9/cuda/12.2/bin/nvcc
CUDA Build Version           : 12020
CUDA Driver Version          : 12020
CUDA Runtime Version         : 12020 (linked to CuPy) / 12020 (locally installed)
cuBLAS Version               : (available)
cuFFT Version                : 11008
cuRAND Version               : 10303
cuSOLVER Version             : (11, 5, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (12, 2)
Thrust Version               : 200200
CUB Build Version            : 200200
Jitify Build Version         : <unknown>
cuDNN Build Version          : 8801
cuDNN Version                : 8903
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-80GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:03:00.0
None
Sizes of ptrain and pdot:
[(80000, 14, 14), (80000, 14, 14)]
Loss at truetheta:
4.92327668816209e-13
len(theta) = 5565
len(jac) = 15680000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 31360000 rows and 5565 columns
damp = 0.00000000000000e+00

atol = 1.00e-16                 conlim = 1.00e+08

btol = 1.00e-16             maxiter =   200000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
     0  0.00000e+00  1.116e+03  1.593e+06   1.0e+00  1.3e+00
     1  1.31306e-03  6.349e+02  4.204e+05   5.7e-01  3.8e-01  1.7e+03  1.0e+00
     2  6.48624e-03  2.657e+02  1.768e+05   2.4e-01  3.4e-01  1.9e+03  2.5e+00
     3  7.96741e-03  2.092e+02  1.120e+05   1.9e-01  2.2e-01  2.4e+03  2.3e+00
     4  1.20988e-02  1.184e+02  2.858e+04   1.1e-01  8.8e-02  2.7e+03  2.5e+00
     5  1.23632e-02  1.153e+02  2.403e+04   1.0e-01  7.3e-02  2.9e+03  2.4e+00
     6  1.32991e-02  1.062e+02  1.376e+04   9.5e-02  3.9e-02  3.3e+03  2.9e+00
     7  1.33488e-02  1.038e+02  1.233e+04   9.3e-02  3.5e-02  3.4e+03  4.4e+00
     8  1.33558e-02  1.007e+02  1.052e+04   9.0e-02  2.8e-02  3.7e+03  3.1e+00
     9  1.31650e-02  9.574e+01  8.611e+03   8.6e-02  2.3e-02  3.9e+03  5.5e+00
    10  1.31366e-02  9.493e+01  8.371e+03   8.5e-02  2.2e-02  3.9e+03  5.4e+00
    20  1.34746e-02  6.912e+01  2.918e+03   6.2e-02  7.6e-03  5.6e+03  8.2e+00
    30  1.60293e-02  5.698e+01  2.018e+03   5.1e-02  5.2e-03  6.9e+03  6.9e+00
    40  2.08349e-02  4.298e+01  1.284e+03   3.9e-02  3.8e-03  7.9e+03  9.0e+00
    50  2.66265e-02  3.457e+01  9.107e+02   3.1e-02  3.0e-03  8.8e+03  1.0e+01
    60  3.35381e-02  2.801e+01  6.713e+02   2.5e-02  2.5e-03  9.6e+03  7.4e+00
    70  4.06677e-02  2.341e+01  5.216e+02   2.1e-02  2.1e-03  1.0e+04  1.8e+01
    80  5.11315e-02  1.878e+01  3.764e+02   1.7e-02  1.8e-03  1.1e+04  1.3e+01
    90  5.98599e-02  1.621e+01  2.861e+02   1.5e-02  1.5e-03  1.2e+04  2.0e+01
   100  6.88150e-02  1.420e+01  2.318e+02   1.3e-02  1.3e-03  1.2e+04  1.3e+01
   110  7.76851e-02  1.249e+01  1.969e+02   1.1e-02  1.2e-03  1.3e+04  3.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   120  8.87568e-02  1.037e+01  1.690e+02   9.3e-03  1.2e-03  1.4e+04  1.7e+01
   130  1.06480e-01  6.858e+00  1.254e+02   6.1e-03  1.3e-03  1.4e+04  6.7e+00
   140  1.17712e-01  4.329e+00  9.037e+01   3.9e-03  1.4e-03  1.4e+04  2.1e+01
   150  1.23235e-01  2.736e+00  6.248e+01   2.5e-03  1.5e-03  1.5e+04  1.9e+01
   160  1.24457e-01  1.891e+00  4.399e+01   1.7e-03  1.5e-03  1.5e+04  2.4e+01
   170  1.23303e-01  1.343e+00  3.045e+01   1.2e-03  1.4e-03  1.6e+04  1.5e+01
   180  1.21335e-01  1.047e+00  2.148e+01   9.4e-04  1.3e-03  1.6e+04  2.3e+01
   190  1.18896e-01  8.589e-01  1.639e+01   7.7e-04  1.1e-03  1.7e+04  1.6e+01
   200  1.16400e-01  7.242e-01  1.278e+01   6.5e-04  1.0e-03  1.7e+04  2.4e+01
   210  1.14005e-01  6.194e-01  1.069e+01   5.6e-04  9.7e-04  1.8e+04  2.2e+01
   220  1.10918e-01  4.973e-01  8.738e+00   4.5e-04  9.7e-04  1.8e+04  2.3e+01
   230  1.07898e-01  3.850e-01  7.076e+00   3.5e-04  9.9e-04  1.8e+04  1.0e+01
   240  1.04545e-01  2.623e-01  5.302e+00   2.4e-04  1.1e-03  1.9e+04  8.0e+00
   250  1.02053e-01  1.761e-01  3.792e+00   1.6e-04  1.1e-03  1.9e+04  1.3e+01
   260  1.00374e-01  1.170e-01  2.597e+00   1.0e-04  1.1e-03  2.0e+04  1.8e+01
   270  9.95028e-02  8.697e-02  1.833e+00   7.8e-05  1.1e-03  2.0e+04  1.1e+01
   280  9.90081e-02  6.787e-02  1.330e+00   6.1e-05  9.6e-04  2.0e+04  1.1e+01
   290  9.87180e-02  5.501e-02  1.000e+00   4.9e-05  8.7e-04  2.1e+04  1.2e+01
   300  9.85290e-02  4.458e-02  7.755e-01   4.0e-05  8.2e-04  2.1e+04  1.3e+01
   310  9.83922e-02  3.496e-02  6.118e-01   3.1e-05  8.1e-04  2.1e+04  1.3e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   320  9.83160e-02  2.860e-02  5.169e-01   2.6e-05  8.3e-04  2.2e+04  9.7e+00
   330  9.82201e-02  1.938e-02  3.848e-01   1.7e-05  9.0e-04  2.2e+04  9.7e+00
   340  9.81698e-02  1.412e-02  3.002e-01   1.3e-05  9.5e-04  2.2e+04  1.4e+01
   350  9.81272e-02  9.158e-03  2.105e-01   8.2e-06  1.0e-03  2.3e+04  1.1e+01
   360  9.81016e-02  5.960e-03  1.361e-01   5.3e-06  9.9e-04  2.3e+04  9.7e+00
   370  9.80936e-02  4.829e-03  1.050e-01   4.3e-06  9.3e-04  2.3e+04  1.7e+01
   380  9.80870e-02  3.744e-03  7.347e-02   3.4e-06  8.3e-04  2.4e+04  1.1e+01
   390  9.80843e-02  3.210e-03  5.761e-02   2.9e-06  7.5e-04  2.4e+04  1.7e+01
   400  9.80826e-02  2.710e-03  4.665e-02   2.4e-06  7.1e-04  2.4e+04  1.6e+01
   410  9.80815e-02  2.247e-03  3.813e-02   2.0e-06  6.9e-04  2.5e+04  1.1e+01
   420  9.80809e-02  1.778e-03  3.109e-02   1.6e-06  7.0e-04  2.5e+04  1.2e+01
   430  9.80805e-02  1.275e-03  2.357e-02   1.1e-06  7.3e-04  2.5e+04  2.2e+01
